PESO INICIAL;PESO FINAL;CEP INICIAL;CEP FINAL;VALOR DO FRETE;TEMPO DE ENTREGA
;80.00;7700001;7749999;115,85;10
;90.00;7700001;7749999;115,85;10
;100.00;7700001;7749999;115,85;10
;10.00;7700001;7749999;48,53;6
;20.00;7700001;7749999;57,72;6
;35.00;7700001;7749999;70,77;6
;50.00;7700001;7749999;83,12;6
;70.00;7700001;7749999;92,58;6
;10.00;7750001;7799999;50,12;10
;20.00;7750001;7799999;60,32;10
;30.00;7750001;7799999;60,32;10
;40.00;7750001;7799999;80,03;10
;50.00;7750001;7799999;80,03;10
;60.00;7750001;7799999;99,75;10
;70.00;7750001;7799999;99,75;10
;80.00;7750001;7799999;115,85;10
;90.00;7750001;7799999;115,85;10
;100.00;7750001;7799999;115,85;10
;10.00;7750001;7799999;63,31;6
;20.00;7750001;7799999;75,29;6
;35.00;7750001;7799999;92,3;6
;50.00;7750001;7799999;108,4;6
;70.00;7750001;7799999;120,7;6
;10.00;7800001;7899999;50,12;10
;20.00;7800001;7899999;60,32;10
;30.00;7800001;7899999;60,32;10
;40.00;7800001;7899999;80,03;10
;50.00;7800001;7899999;80,03;10
;60.00;7800001;7899999;99,75;10
;70.00;7800001;7899999;99,75;10
;80.00;7800001;7899999;115,85;10
;90.00;7800001;7899999;115,85;10
;100.00;7800001;7899999;115,85;10
;10.00;7800001;7899999;63,31;6
;20.00;7800001;7899999;75,29;6
;35.00;7800001;7899999;92,3;6
;50.00;7800001;7899999;108,4;6
;70.00;7800001;7899999;120,7;6
;10.00;7900001;7999999;50,12;10
;20.00;7900001;7999999;60,32;10
;30.00;7900001;7999999;60,32;10
;40.00;7900001;7999999;80,03;10
;50.00;7900001;7999999;80,03;10
;60.00;7900001;7999999;99,75;10
;70.00;7900001;7999999;99,75;10
;80.00;7900001;7999999;115,85;10
;90.00;7900001;7999999;115,85;10
;100.00;7900001;7999999;115,85;10
;10.00;7900001;7999999;63,31;4
;20.00;7900001;7999999;75,29;4
;35.00;7900001;7999999;92,3;4
;50.00;7900001;7999999;108,4;4
;70.00;7900001;7999999;120,7;4
;10.00;8500001;8549999;50,12;10
;20.00;8500001;8549999;60,32;10
;30.00;8500001;8549999;60,32;10
;40.00;8500001;8549999;80,03;10
;50.00;8500001;8549999;80,03;10
;60.00;8500001;8549999;99,75;10
;70.00;8500001;8549999;99,75;10
;80.00;8500001;8549999;115,85;10
;90.00;8500001;8549999;115,85;10
;100.00;8500001;8549999;115,85;10
;10.00;8500001;8549999;48,53;5
;20.00;8500001;8549999;57,72;5
